Lineage,Time,DT.anc,Ploidy.anc,Enviro
1,anc,2.502230027,4,YPAD
2,anc,2.420580873,4,YPAD
3,anc,2.379642566,4,YPAD
4,anc,2.501791186,4,YPAD
5,anc,2.653336976,4,YPAD
6,anc,3.070869851,4,YPAD
7,anc,2.436828769,4,YPAD
8,anc,2.608039922,4,YPAD
9,anc,2.377521981,4,YPAD
10,anc,2.510511128,4,YPAD
11,anc,2.508212572,4,YPAD
12,anc,2.571145601,4,YPAD
13,anc,2.458562534,4,YPAD
14,anc,2.655898312,4,YPAD
15,anc,2.554197409,4,YPAD
16,anc,2.530747791,4,YPAD
17,anc,2.472041898,4,YPAD
18,anc,2.622297615,4,YPAD
19,anc,2.657191542,4,YPAD
20,anc,2.638193656,4,YPAD
21,anc,2.524230152,4,YPAD
22,anc,2.592095732,4,YPAD
23,anc,2.572097927,4,YPAD
24,anc,2.753798158,4,YPAD
25,anc,2.542593167,4,YPAD
26,anc,2.354120028,4,YPAD
27,anc,2.546928847,4,YPAD
28,anc,2.772963078,4,YPAD
29,anc,2.594443909,4,YPAD
30,anc,2.819415909,4,YPAD
31,anc,2.360807983,4,YPAD
32,anc,2.710304593,4,YPAD
33,anc,2.585795843,4,YPAD
34,anc,2.616552871,4,YPAD
35,anc,2.904951853,4,YPAD
36,anc,2.703564313,4,YPAD
37,anc,2.413555964,4,YPAD
38,anc,2.644470318,4,YPAD
39,anc,2.681444707,4,YPAD
40,anc,2.858333797,4,YPAD
41,anc,2.751807801,4,YPAD
42,anc,2.456189528,4,YPAD
43,anc,2.841831238,4,YPAD
44,anc,2.643694706,4,YPAD
45,anc,2.528114845,4,YPAD
46,anc,2.442691944,4,YPAD
47,anc,2.645411662,4,YPAD
48,anc,2.527778244,4,YPAD
49,anc,2.041816637,4,YPAD
50,anc,2.262313017,4,YPAD
51,anc,2.336515034,4,YPAD
52,anc,2.132440431,4,YPAD
53,anc,2.256096889,4,YPAD
54,anc,2.459854676,4,YPAD
55,anc,2.502139854,4,YPAD
56,anc,2.300182644,4,YPAD
57,anc,2.311872865,4,YPAD
58,anc,2.341771243,4,YPAD
59,anc,2.322287096,4,YPAD
60,anc,2.412049475,4,YPAD
61,anc,2.389412286,4,YPAD
62,anc,2.434923073,4,YPAD
63,anc,2.401964587,4,YPAD
64,anc,2.432102714,4,YPAD
65,anc,2.290488701,4,YPAD
66,anc,2.507036299,4,YPAD
67,anc,2.470214356,4,YPAD
68,anc,2.406171388,4,YPAD
69,anc,2.414721019,4,YPAD
70,anc,2.386102397,4,YPAD
71,anc,2.345058965,4,YPAD
72,anc,2.560572954,4,YPAD
73,anc,2.719455219,4,YPAD
74,anc,2.446228035,4,YPAD
75,anc,2.608911641,4,YPAD
76,anc,2.402196535,4,YPAD
77,anc,2.414106403,4,YPAD
78,anc,2.415014076,4,YPAD
79,anc,2.39844568,4,YPAD
80,anc,2.479308753,4,YPAD
81,anc,2.488747661,4,YPAD
82,anc,2.418198023,4,YPAD
83,anc,2.467856357,4,YPAD
84,anc,2.430719683,4,YPAD
85,anc,2.378554577,4,YPAD
86,anc,2.441456641,4,YPAD
87,anc,2.458466241,4,YPAD
88,anc,2.417896625,4,YPAD
89,anc,2.369005526,4,YPAD
90,anc,2.410035936,4,YPAD
91,anc,2.499651123,4,YPAD
92,anc,2.451401677,4,YPAD
93,anc,2.345913345,4,YPAD
94,anc,2.516611117,4,YPAD
95,anc,2.374045712,4,YPAD
96,anc,2.40966127,4,YPAD
1,anc,9.715782427,4,flu
2,anc,10.24981709,4,flu
3,anc,11.15548129,4,flu
4,anc,9.296543192,4,flu
5,anc,14.01285202,4,flu
6,anc,19.21441555,4,flu
7,anc,12.60579025,4,flu
8,anc,12.02830566,4,flu
9,anc,19.75755422,4,flu
10,anc,14.31892034,4,flu
11,anc,13.89873424,4,flu
12,anc,14.30593433,4,flu
13,anc,18.8970557,4,flu
14,anc,19.86609952,4,flu
15,anc,12.38310432,4,flu
16,anc,13.92985885,4,flu
17,anc,21.40484613,4,flu
18,anc,19.3939959,4,flu
19,anc,21.87780711,4,flu
20,anc,13.27906402,4,flu
21,anc,23.95166426,4,flu
22,anc,18.4799172,4,flu
23,anc,15.48198433,4,flu
24,anc,17.59209272,4,flu
25,anc,21.89383013,4,flu
26,anc,25.31519652,4,flu
27,anc,19.51575052,4,flu
28,anc,13.99873516,4,flu
29,anc,21.75277259,4,flu
30,anc,20.47193147,4,flu
31,anc,14.7802068,4,flu
32,anc,17.78875579,4,flu
33,anc,22.6111778,4,flu
34,anc,29.49452071,4,flu
35,anc,19.66367162,4,flu
36,anc,15.07309227,4,flu
37,anc,25.88645861,4,flu
38,anc,17.91753256,4,flu
39,anc,24.40601677,4,flu
40,anc,24.71039874,4,flu
41,anc,29.08115787,4,flu
42,anc,23.60121689,4,flu
43,anc,23.90419195,4,flu
44,anc,23.69577316,4,flu
45,anc,21.13202237,4,flu
46,anc,27.75051054,4,flu
47,anc,22.54781839,4,flu
48,anc,16.16009473,4,flu
49,anc,5.854085578,4,flu
50,anc,10.49018202,4,flu
51,anc,8.993638003,4,flu
52,anc,6.461116864,4,flu
53,anc,11.22350998,4,flu
54,anc,12.42015698,4,flu
55,anc,11.52782556,4,flu
56,anc,9.472544067,4,flu
57,anc,11.01955313,4,flu
58,anc,12.23804609,4,flu
59,anc,13.60131596,4,flu
60,anc,11.38847275,4,flu
61,anc,10.16623231,4,flu
62,anc,15.60312973,4,flu
63,anc,17.22002812,4,flu
64,anc,8.36218115,4,flu
65,anc,16.3345902,4,flu
66,anc,21.05646776,4,flu
67,anc,20.50028381,4,flu
68,anc,14.26660687,4,flu
69,anc,24.82374148,4,flu
70,anc,29.60696441,4,flu
71,anc,20.36022105,4,flu
72,anc,17.38386532,4,flu
73,anc,39.26279201,4,flu
74,anc,23.2975472,4,flu
75,anc,17.46072115,4,flu
76,anc,21.98171098,4,flu
77,anc,25.37403006,4,flu
78,anc,37.26605852,4,flu
79,anc,27.44417123,4,flu
80,anc,26.15854828,4,flu
81,anc,19.19720204,4,flu
82,anc,20.23926893,4,flu
83,anc,30.68369196,4,flu
84,anc,18.09749824,4,flu
85,anc,34.1883882,4,flu
86,anc,23.09359383,4,flu
87,anc,30.84605748,4,flu
88,anc,28.50180067,4,flu
89,anc,26.72745627,4,flu
90,anc,29.59449505,4,flu
91,anc,29.45210193,4,flu
92,anc,35.97375651,4,flu
93,anc,21.27236331,4,flu
94,anc,30.47586217,4,flu
95,anc,22.50616524,4,flu
96,anc,24.62910584,4,flu
1,evol,N/A,2.3009,YPAD
2,evol,2.192538591,N/A,YPAD
3,evol,2.681215754,2.2092,YPAD
4,evol,2.715198628,3.3209,YPAD
5,evol,N/A,2.8253,YPAD
6,evol,3.135384571,N/A,YPAD
7,evol,2.751964798,3.8171,YPAD
8,evol,3.089136186,2.4438,YPAD
