well,ploidy,line,time,environment,od
A1,,,anc,nacl,
A2,1,5,anc,nacl,0.909
A3,2,5,evol,nacl,0.766
A4,2,1,anc,nacl,0.759
A5,1,1,anc,nacl,0.854
A6,2,2,evol,nacl,0.791
A7,1,2,anc,nacl,0.989
A8,2,4,anc,nacl,0.841
A9,2,3,evol,nacl,0.801
A10,2,5,anc,nacl,0.875
A11,1,2,evol,nacl,0.816
A12,,,anc,nacl,
B1,,,evol,nacl,
B2,1,5,anc,nacl,0.869
B3,2,5,evol,nacl,0.779
B4,2,1,anc,nacl,0.839
B5,1,1,anc,nacl,0.962
B6,2,2,evol,nacl,0.699
B7,1,2,anc,nacl,0.972
B8,2,4,anc,nacl,0.854
B9,2,3,evol,nacl,0.737
B10,2,5,anc,nacl,0.851
B11,1,2,evol,nacl,0.903
B12,,,anc,nacl,
C1,,,evol,nacl,
C2,1,5,anc,nacl,0.93
C3,2,5,evol,nacl,0.817
C4,2,1,anc,nacl,0.814
C5,1,1,anc,nacl,0.84
C6,2,2,evol,nacl,0.747
C7,1,2,anc,nacl,0.921
C8,2,4,anc,nacl,0.802
C9,2,3,evol,nacl,0.851
C10,2,5,anc,nacl,0.885
C11,1,2,evol,nacl,0.887
C12,,,anc,nacl,
D1,,,evol,nacl,
D2,1,5,anc,nacl,0.979
D3,2,5,evol,nacl,0.856
D4,2,1,anc,nacl,0.88
D5,1,1,anc,nacl,0.991
D6,2,2,evol,nacl,0.774
D7,1,2,anc,nacl,0.958
D8,2,4,anc,nacl,0.869
D9,2,3,evol,nacl,0.858
D10,2,5,anc,nacl,0.92
D11,1,2,evol,nacl,0.911
D12,,,anc,nacl,
E1,,,evol,nacl,
E2,1,3,anc,nacl,0.848
E3,1,4,anc,nacl,0.845
E4,1,5,evol,nacl,0.828
E5,1,3,evol,nacl,0.867
E6,1,4,evol,nacl,0.855
E7,2,4,evol,nacl,0.864
E8,1,1,evol,nacl,0.825
E9,2,1,evol,nacl,0.845
E10,2,3,anc,nacl,0.901
E11,2,2,anc,nacl,0.928
E12,,,anc,nacl,
F1,,,evol,nacl,
F2,1,3,anc,nacl,1.007
F3,1,4,anc,nacl,0.927
F4,1,5,evol,nacl,0.799
F5,1,3,evol,nacl,0.859
F6,1,4,evol,nacl,0.863
F7,2,4,evol,nacl,0.83
F8,1,1,evol,nacl,0.85
F9,2,1,evol,nacl,0.864
F10,2,3,anc,nacl,0.877
F11,2,2,anc,nacl,0.874
F12,,,anc,nacl,
G1,,,evol,nacl,
G2,1,3,anc,nacl,0.989
G3,1,4,anc,nacl,0.837
G4,1,5,evol,nacl,0.745
G5,1,3,evol,nacl,0.855
G6,1,4,evol,nacl,0.849
G7,2,4,evol,nacl,0.734
G8,1,1,evol,nacl,0.74
G9,2,1,evol,nacl,0.77
G10,2,3,anc,nacl,0.79
G11,2,2,anc,nacl,0.839
G12,,,anc,nacl,
H1,,,evol,nacl,
H2,1,3,anc,nacl,0.953
H3,1,4,anc,nacl,0.928
H4,1,5,evol,nacl,0.831
H5,1,3,evol,nacl,0.99
H6,1,4,evol,nacl,0.896
H7,2,4,evol,nacl,0.812
H8,1,1,evol,nacl,0.825
H9,2,1,evol,nacl,0.792
H10,2,3,anc,nacl,0.854
H11,2,2,anc,nacl,0.855
H12,,,,nacl,
A2,2,1,evol,ypd,1.134
B2,2,1,evol,ypd,1.007
C2,2,1,evol,ypd,1.137
D2,2,1,evol,ypd,0.907
E2,1,1,anc,ypd,0.944
F2,1,1,anc,ypd,1.072
G2,1,1,anc,ypd,0.988
H2,1,1,anc,ypd,1.031
A3,1,1,evol,ypd,0.88
B3,1,1,evol,ypd,1.109
C3,1,1,evol,ypd,1.158
D3,1,1,evol,ypd,1.221
E3,2,2,evol,ypd,0.793
F3,2,2,evol,ypd,0.978
G3,2,2,evol,ypd,0.931
H3,2,2,evol,ypd,0.926
A4,1,5,evol,ypd,0.837
B4,1,5,evol,ypd,1.119
C4,1,5,evol,ypd,1.097
D4,1,5,evol,ypd,1.022
E4,1,2,anc,ypd,1.007
F4,1,2,anc,ypd,1.036
G4,1,2,anc,ypd,0.986
H4,1,2,anc,ypd,1.014
A5,2,3,evol,ypd,0.611
B5,2,3,evol,ypd,0.931
C5,2,3,evol,ypd,0.723
D5,2,3,evol,ypd,0.934
E5,1,3,evol,ypd,1.006
F5,1,3,evol,ypd,1.001
G5,1,3,evol,ypd,0.982
H5,1,3,evol,ypd,1.066
A6,1,5,anc,ypd,1.04
B6,1,5,anc,ypd,1.062
C6,1,5,anc,ypd,1.011
D6,1,5,anc,ypd,0.853
E6,2,3,anc,ypd,0.908
F6,2,3,anc,ypd,0.861
G6,2,3,anc,ypd,0.923
H6,2,3,anc,ypd,0.888
A7,1,2,evol,ypd,0.866
B7,1,2,evol,ypd,0.764
C7,1,2,evol,ypd,0.744
D7,1,2,evol,ypd,1.066
E7,1,4,evol,ypd,1.014
F7,1,4,evol,ypd,1.071
G7,1,4,evol,ypd,0.912
H7,1,4,evol,ypd,1.019
A8,1,3,anc,ypd,0.778
B8,1,3,anc,ypd,0.862
C8,1,3,anc,ypd,0.796
D8,1,3,anc,ypd,1.06
E8,2,1,anc,ypd,0.863
F8,2,1,anc,ypd,0.856
G8,2,1,anc,ypd,0.9
H8,2,1,anc,ypd,0.937
A9,1,4,anc,ypd,0.981
B9,1,4,anc,ypd,1.02
C9,1,4,anc,ypd,0.875
D9,1,4,anc,ypd,1.085
E9,2,2,anc,ypd,0.849
F9,2,2,anc,ypd,0.973
G9,2,2,anc,ypd,0.87
H9,2,2,anc,ypd,0.928
A10,2,5,evol,ypd,0.845
B10,2,5,evol,ypd,0.582
C10,2,5,evol,ypd,0.962
D10,2,5,evol,ypd,0.876
E10,2,4,anc,ypd,0.848
F10,2,4,anc,ypd,1.005
G10,2,4,anc,ypd,0.879
H10,2,4,anc,ypd,0.972
A11,2,4,evol,ypd,0.684
B11,2,4,evol,ypd,0.871
