"","strain","MIC"
"1","s1",0.12
"2","s2",0.12
"3","s3",0.12
"4","s4",0.12
"5","s5",0.12
"6","s6",0.12
"7","s7",0.12
"8","s8",0.12
"9","s9",0.12
"10","s10",0.12
"11","s11",0.12
"12","s12",0.12
"13","s13",0.12
"14","s14",0.12
"15","s15",0.12
"16","s16",0.12
"17","s17",0.12
"18","s18",0.12
"19","s19",0.12
"20","s20",0.12
"21","s21",0.12
"22","s22",0.12
"23","s23",0.12
"24","s24",0.12
"25","s25",0.12
"26","s26",0.12
"27","s27",0.12
"28","s28",0.12
"29","s29",0.12
"30","s30",0.12
"31","s31",0.12
"32","s32",0.12
"33","s33",0.12
"34","s34",0.12
"35","s35",0.12
"36","s36",0.12
"37","s37",0.12
"38","s38",0.25
"39","s39",0.25
"40","s40",0.25
"41","s41",0.25
"42","s42",0.25
"43","s43",0.25
"44","s44",0.25
"45","s45",0.25
"46","s46",0.25
"47","s47",0.25
"48","s48",0.25
"49","s49",0.25
"50","s50",0.25
"51","s51",0.25
"52","s52",0.25
"53","s53",0.25
"54","s54",0.25
"55","s55",0.25
"56","s56",0.25
"57","s57",0.25
"58","s58",0.25
"59","s59",0.25
"60","s60",0.25
"61","s61",0.25
"62","s62",0.25
"63","s63",0.25
"64","s64",0.25
"65","s65",0.25
"66","s66",0.25
"67","s67",0.25
"68","s68",0.25
"69","s69",0.25
"70","s70",0.25
"71","s71",0.25
"72","s72",0.25
"73","s73",0.25
"74","s74",0.25
"75","s75",0.25
"76","s76",0.25
"77","s77",0.25
"78","s78",0.25
"79","s79",0.25
"80","s80",0.25
"81","s81",0.25
"82","s82",0.25
"83","s83",0.25
"84","s84",0.25
"85","s85",0.25
"86","s86",0.25
"87","s87",0.25
"88","s88",0.25
"89","s89",0.25
"90","s90",0.25
"91","s91",0.25
"92","s92",0.25
"93","s93",0.25
"94","s94",0.25
"95","s95",0.25
"96","s96",0.25
"97","s97",0.25
"98","s98",0.25
"99","s99",0.25
"100","s100",0.25
"101","s101",0.25
"102","s102",0.25
"103","s103",0.25
"104","s104",0.25
"105","s105",0.25
"106","s106",0.25
"107","s107",0.25
"108","s108",0.25
"109","s109",0.25
"110","s110",0.25
"111","s111",0.25
"112","s112",0.25
"113","s113",0.25
"114","s114",0.25
"115","s115",0.25
"116","s116",0.25
"117","s117",0.25
"118","s118",0.25
"119","s119",0.25
"120","s120",0.25
"121","s121",0.25
"122","s122",0.25
"123","s123",0.25
"124","s124",0.25
"125","s125",0.25
"126","s126",0.25
"127","s127",0.25
"128","s128",0.25
"129","s129",0.25
"130","s130",0.25
"131","s131",0.25
"132","s132",0.25
"133","s133",0.25
"134","s134",0.25
"135","s135",0.25
"136","s136",0.25
"137","s137",0.25
"138","s138",0.25
"139","s139",0.25
"140","s140",0.25
"141","s141",0.25
"142","s142",0.25
"143","s143",0.25
"144","s144",0.25
"145","s145",0.25
"146","s146",0.25
"147","s147",0.25
"148","s148",0.25
"149","s149",0.25
"150","s150",0.25
"151","s151",0.25
"152","s152",0.25
"153","s153",0.25
"154","s154",0.25
"155","s155",0.25
"156","s156",0.25
"157","s157",0.25
"158","s158",0.25
"159","s159",0.25
"160","s160",0.25
"161","s161",0.25
"162","s162",0.25
"163","s163",0.25
"164","s164",0.25
"165","s165",0.25
"166","s166",0.25
"167","s167",0.25
"168","s168",0.25
"169","s169",0.25
"170","s170",0.25
"171","s171",0.25
"172","s172",0.25
"173","s173",0.25
"174","s174",0.25
"175","s175",0.25
"176","s176",0.25
"177","s177",0.25
"178","s178",0.25
"179","s179",0.25
"180","s180",0.25
"181","s181",0.25
"182","s182",0.25
"183","s183",0.25
"184","s184",0.25
"185","s185",0.25
"186","s186",0.25
"187","s187",0.25
"188","s188",0.25
"189","s189",0.25
"190","s190",0.25
"191","s191",0.25
"192","s192",0.25
"193","s193",0.25
"194","s194",0.25
"195","s195",0.25
"196","s196",0.25
"197","s197",0.25
"198","s198",0.25
"199","s199",0.25
"200","s200",0.25
"201","s201",0.25
"202","s202",0.5
"203","s203",0.5
"204","s204",0.5
"205","s205",0.5
"206","s206",0.5
"207","s207",0.5
"208","s208",0.5
